0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	0.52	0.05	0.05	0.05	0.05	0.05	0.05
2	0.72	0.12	0.12	0.12	0.12	0.12	0.12
3	0.90	0.27	0.27	0.27	0.27	0.27	0.27
4	1.15	0.45	0.45	0.45	0.45	0.45	0.45
5	1.25	0.77	0.82	0.88	0.93	0.98	1.03
6	1.49	0.97	1.04	1.11	1.18	1.26	1.33
7	1.95	1.18	1.27	1.36	1.45	1.54	1.63
8	2.14	1.41	1.53	1.64	1.76	1.87	1.99
9	2.07	1.61	1.73	1.85	1.98	2.10	2.23
10	2.10	1.83	1.98	2.13	2.27	2.42	2.57
11	2.08	2.04	2.23	2.43	2.62	2.82	3.01
12	1.99	2.09	2.31	2.52	2.74	2.95	3.16
13	2.18	2.08	2.29	2.49	2.70	2.91	3.11
14	2.40	2.11	2.32	2.53	2.74	2.95	3.16
15	2.27	2.13	2.34	2.55	2.75	2.96	3.17
16	2.11	2.15	2.35	2.55	2.75	2.95	3.14
17	2.10	2.23	2.44	2.66	2.88	3.10	3.32
18	2.01	2.24	2.48	2.72	2.96	3.20	3.44
19	2.06	2.16	2.38	2.61	2.84	3.06	3.29
20	2.40	2.11	2.32	2.53	2.74	2.96	3.17
21	2.56	2.15	2.36	2.57	2.78	2.99	3.20
22	2.49	2.20	2.40	2.60	2.80	3.00	3.20
23	2.58	2.32	2.53	2.73	2.94	3.15	3.35
24	2.73	2.50	2.74	2.98	3.22	3.46	3.70
25	2.86	2.60	2.85	3.11	3.36	3.62	3.88
26	3.25	2.67	2.92	3.16	3.41	3.66	3.91
27	3.73	2.85	3.10	3.36	3.62	3.88	4.13
28	3.88	3.08	3.35	3.62	3.90	4.17	4.44
29	3.95	3.32	3.61	3.89	4.18	4.46	4.75
30	4.20	3.64	3.96	4.29	4.61	4.94	5.26
31	4.37	3.92	4.29	4.66	5.04	5.41	5.78
32	4.58	4.08	4.46	4.85	5.24	5.63	6.02
33	5.03	4.26	4.65	5.05	5.44	5.84	6.23
34	5.27	4.50	4.92	5.34	5.76	6.18	6.60
35	5.16	4.71	5.15	5.59	6.02	6.46	6.90
36	5.15	4.92	5.38	5.84	6.30	6.76	7.21
37	5.19	5.13	5.63	6.14	6.64	7.14	7.64
38	5.13	5.20	5.73	6.25	6.78	7.31	7.83
39	5.23	5.17	5.69	6.20	6.72	7.23	7.75
40	5.41	5.19	5.70	6.22	6.73	7.25	7.76
41	5.22	5.21	5.73	6.25	6.77	7.29	7.81
42	4.90	5.19	5.70	6.22	6.73	7.24	7.75
43	4.77	5.18	5.71	6.23	6.75	7.28	7.80
44	4.63	5.13	5.67	6.21	6.75	7.29	7.83
45	4.51	4.93	5.46	5.98	6.50	7.02	7.54
46	4.63	4.75	5.24	5.73	6.22	6.71	7.20
47	4.65	4.67	5.14	5.62	6.10	6.58	7.05
48	4.35	4.58	5.04	5.51	5.97	6.43	6.90
49	4.18	4.51	4.96	5.41	5.86	6.32	6.77
50	4.21	4.49	4.95	5.42	5.88	6.35	6.81
51	4.18	4.40	4.87	5.33	5.80	6.26	6.73
52	4.33	4.27	4.70	5.14	5.57	6.01	6.44
53	4.64	4.25	4.67	5.08	5.50	5.92	6.34
54	4.64	4.31	4.73	5.15	5.58	6.00	6.42
55	4.51	4.38	4.80	5.22	5.64	6.05	6.47
56	4.62	4.50	4.93	5.37	5.80	6.23	6.67
57	4.77	4.62	5.09	5.55	6.01	6.48	6.94
58	4.88	4.65	5.11	5.58	6.04	6.51	6.97
59	5.20	4.69	5.14	5.59	6.04	6.49	6.94
60	5.41	4.84	5.30	5.76	6.23	6.69	7.15
61	5.24	4.99	5.47	5.94	6.42	6.90	7.37
62	5.13	5.11	5.60	6.09	6.58	7.07	7.55
63	5.19	5.24	5.76	6.28	6.80	7.32	7.84
64	5.15	5.27	5.81	6.35	6.89	7.43	7.97
65	5.16	5.19	5.72	6.24	6.76	7.29	7.81
66	5.27	5.16	5.67	6.19	6.70	7.21	7.73
67	5.05	5.17	5.69	6.21	6.73	7.25	7.77
68	4.60	5.11	5.63	6.14	6.66	7.17	7.69
69	4.37	5.02	5.54	6.05	6.57	7.09	7.60
70	4.21	4.89	5.42	5.95	6.47	7.00	7.53
71	3.96	4.63	5.14	5.64	6.15	6.65	7.16
72	3.88	4.34	4.80	5.26	5.72	6.18	6.64
73	3.75	4.15	4.58	5.02	5.46	5.90	6.33
74	3.28	3.96	4.38	4.80	5.22	5.64	6.06
75	2.87	3.73	4.12	4.52	4.91	5.31	5.71
76	2.74	3.52	3.91	4.29	4.68	5.07	5.46
77	2.59	3.26	3.64	4.01	4.39	4.76	5.14
78	2.48	2.94	3.27	3.59	3.92	4.25	4.58
79	2.56	2.72	3.00	3.29	3.58	3.86	4.15
80	2.42	2.61	2.88	3.16	3.43	3.70	3.98
81	2.07	2.49	2.75	3.01	3.27	3.53	3.78
