01234567891011121314151617181920212223242526272829303132333435363738394041424344454647484950515253545556575859606162636465666768697071727374757677787980818283848586878889909192939495969798991001011021031041051061071081091101111121131141151161171181191201211221231241251261271281291301311321331341351361371381391401411421431441451461471481491501511521531541551561571581591601611621631641651661671681691701711721731741751761771781791801811821831841851861871881891901911921931941951961971981990	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	4.02	0.16	0.16	0.16	0.16	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.14	0.14	0.14	0.14	0.13	0.13	0.13	0.12	0.12	0.12	0.11	0.11	0.11	0.10	0.10	0.09	0.09	0.09	0.08	0.08	0.07
2	4.39	0.31	0.31	0.31	0.30	0.30	0.29	0.28	0.27	0.26	0.24	0.23	0.22	0.20	0.18	0.17	0.15	0.13	0.12	0.10	0.08	0.07	0.05	0.03	0.02	0.01	-0.01	-0.02	-0.03	-0.04	-0.05	-0.05	-0.06
3	3.56	0.47	0.46	0.45	0.44	0.42	0.39	0.36	0.33	0.29	0.26	0.22	0.18	0.14	0.10	0.07	0.04	0.00	-0.02	-0.05	-0.07	-0.08	-0.09	-0.10	-0.10	-0.10	-0.10	-0.09	-0.08	-0.07	-0.06	-0.04	-0.03
4	3.95	0.63	0.61	0.59	0.55	0.50	0.45	0.38	0.32	0.25	0.18	0.11	0.05	0.00	-0.05	-0.08	-0.11	-0.13	-0.14	-0.13	-0.13	-0.11	-0.09	-0.07	-0.04	-0.01	0.01	0.03	0.05	0.07	0.08	0.08	0.08
5	4.14	0.78	0.76	0.71	0.64	0.55	0.45	0.34	0.24	0.13	0.04	-0.04	-0.10	-0.14	-0.16	-0.17	-0.16	-0.14	-0.10	-0.06	-0.02	0.02	0.05	0.08	0.09	0.10	0.10	0.08	0.06	0.04	0.01	-0.01	-0.04
6	3.76	0.94	0.89	0.81	0.69	0.55	0.40	0.25	0.10	-0.02	-0.11	-0.17	-0.20	-0.20	-0.17	-0.13	-0.07	-0.01	0.04	0.09	0.11	0.12	0.11	0.09	0.06	0.02	-0.02	-0.05	-0.07	-0.08	-0.08	-0.07	-0.05
7	3.90	1.09	1.02	0.89	0.71	0.51	0.30	0.11	-0.05	-0.16	-0.23	-0.24	-0.20	-0.14	-0.06	0.02	0.08	0.13	0.14	0.13	0.10	0.05	-0.00	-0.05	-0.08	-0.10	-0.10	-0.07	-0.04	-0.00	0.03	0.06	0.08
8	4.08	1.24	1.14	0.95	0.70	0.43	0.17	-0.05	-0.20	-0.27	-0.26	-0.20	-0.11	-0.00	0.09	0.15	0.16	0.14	0.08	0.02	-0.05	-0.09	-0.11	-0.11	-0.07	-0.03	0.02	0.06	0.09	0.09	0.07	0.03	-0.01
9	3.83	1.39	1.25	0.99	0.66	0.31	0.01	-0.20	-0.30	-0.29	-0.21	-0.08	0.05	0.14	0.18	0.16	0.10	0.01	-0.06	-0.12	-0.13	-0.10	-0.05	0.02	0.07	0.10	0.09	0.06	0.01	-0.03	-0.07	-0.08	-0.07
