0	-3.0	-0.3
1	0.5	-0.2
2	-1.5	-0.7
3	2.3	-0.4
4	1.1	-1.0
5	0.7	0.6
6	0.0	0.2
7	3.5	1.6
8	3.2	1.3
9	2.9	1.6
10	-0.4	1.6
11	3.8	2.9
12	3.1	2.5
13	2.1	2.4
14	1.0	1.5
15	-0.6	2.6
16	-0.0	1.8
17	1.7	1.1
18	0.6	0.5
19	0.8	0.2
20	5.9	1.1
21	2.7	1.8
22	0.9	1.9
23	0.3	2.2
24	0.5	3.2
25	2.8	1.7
26	3.8	1.2
27	4.2	1.6
28	4.5	2.4
29	4.6	3.6
30	2.0	3.9
31	5.1	4.2
32	3.9	4.0
33	3.4	4.0
34	1.7	3.1
35	5.1	4.2
36	6.2	3.7
37	6.4	4.0
38	4.8	4.1
39	3.5	5.4
40	7.0	5.8
41	6.2	5.5
42	7.6	5.4
43	7.4	5.5
44	5.1	6.8
45	2.8	6.3
46	4.7	6.3
47	3.4	5.4
48	7.2	4.6
49	3.3	3.8
50	6.7	5.0
51	7.1	4.8
52	8.0	6.4
53	8.0	5.6
54	5.6	7.0
55	4.3	7.0
56	3.5	6.7
57	3.7	5.9
58	6.9	4.9
59	1.9	4.0
60	4.0	4.1
61	2.3	3.9
62	5.7	4.7
63	1.9	2.8
64	1.6	3.6
65	7.0	3.3
66	3.0	4.0
67	2.9	3.1
68	4.8	3.4
69	5.3	5.0
70	6.1	3.9
71	5.3	4.3
72	3.8	5.1
73	2.0	5.0
74	5.1	5.0
75	3.4	4.1
76	3.2	3.6
77	6.0	3.4
78	4.7	4.4
79	0.7	3.7
80	3.5	3.8
81	2.1	4.0
82	4.1	3.3
83	3.2	2.2
84	2.8	3.3
85	1.4	2.7
86	0.0	3.0
87	0.3	2.2
88	1.4	1.6
89	3.5	1.1
90	1.7	0.9
91	4.3	1.7
92	2.8	2.3
93	0.2	2.9
94	-1.0	2.0
95	1.7	2.4
96	0.6	1.2
97	-2.1	0.1
98	1.5	-0.0
99	0.2	0.6
100	-2.1	-0.1
101	2.5	-0.5
102	-2.5	0.2
103	2.0	0.1
104	0.5	-0.6
105	-2.0	0.8
106	-1.4	-0.8
107	-3.7	0.0
108	1.6	-0.7
109	-0.3	-1.7
110	-3.6	-1.4
111	0.6	-1.5
112	0.1	-0.1
113	-1.5	-0.9
114	-4.0	-1.9
115	-4.2	-0.9
116	-0.5	-1.5
117	-2.7	-2.5
118	-4.7	-3.3
119	-2.8	-3.1
120	-1.5	-2.1
121	-3.6	-3.1
122	-4.5	-3.6
123	-2.9	-2.9
124	-2.3	-2.8
125	-2.0	-3.4
126	-2.3	-3.3
127	-3.9	-2.6
128	-6.1	-2.8
129	-4.7	-3.1
130	-2.0	-3.6
131	-6.9	-4.6
132	-4.1	-4.9
133	-3.3	-4.4
134	-4.8	-3.8
135	-6.8	-5.4
136	-1.8	-4.1
137	-2.1	-4.0
138	-4.3	-4.3
139	-5.6	-4.5
140	-4.9	-3.1
141	-5.5	-3.9
142	-2.8	-4.7
143	-6.0	-5.2
144	-5.2	-4.7
145	-6.3	-5.1
146	-2.1	-4.2
147	-6.2	-5.5
148	-3.6	-4.7
149	-4.6	-5.0
150	-6.8	-3.9
151	-3.4	-5.1
152	-3.0	-4.3
153	-5.6	-4.7
154	-5.0	-5.1
155	-2.6	-3.8
156	-7.7	-4.3
157	-1.9	-4.7
158	-4.4	-4.7
159	-7.5	-4.2
160	-4.6	-5.6
161	-6.5	-4.3
162	-2.6	-5.1
163	-3.8	-5.9
164	-3.6	-4.4
165	-6.3	-4.9
166	-2.3	-3.4
167	-6.6	-4.4
168	-6.6	-4.5
169	-2.7	-5.2
170	-5.2	-4.3
171	-1.3	-5.1
172	-5.1	-4.8
173	-4.7	-3.4
174	-5.8	-4.4
175	-2.1	-3.3
176	-1.4	-4.5
177	-2.1	-3.8
178	-2.6	-3.5
179	-1.6	-2.0
180	-4.4	-2.1
181	-5.0	-2.6
182	-5.7	-3.3
183	-5.2	-3.6
184	-0.6	-4.5
185	-0.2	-4.2
186	-3.9	-3.8
187	-4.3	-3.0
188	-1.5	-1.6
189	-4.6	-2.3
190	-3.9	-3.6
191	-1.7	-3.5
192	0.3	-2.5
193	0.0	-2.9
194	-0.7	-1.9
195	-3.4	-1.0
196	-1.0	-0.5
197	-2.3	-1.1
198	0.8	-1.3
199	-1.4	-2.1
